iter	Passed	Remaining
0	404	404284
1	666	332733
2	910	302485
3	1160	288989
4	1427	284128
5	1695	280832
6	1930	273841
7	2179	270278
8	2429	267503
9	2687	266100
10	2949	265213
11	3199	263423
12	3477	264009
13	3743	263668
14	3977	261161
15	4239	260715
16	4495	259916
17	4756	259499
18	5026	259527
19	5293	259360
20	5560	259202
21	5838	259562
22	6114	259744
23	6394	260044
24	6650	259377
25	6910	258859
26	7173	258521
27	7440	258291
28	7730	258842
29	8002	258736
30	8259	258190
31	8513	257544
32	8778	257230
33	9047	257068
34	9329	257221
35	9592	256875
36	9864	256745
37	10132	256508
38	10400	256272
39	10637	255300
40	10917	255366
41	11183	255079
42	11444	254716
43	11713	254506
44	11984	254338
45	12260	254280
46	12521	253887
47	12763	253143
48	13030	252895
49	13299	252687
50	13559	252306
51	13824	252032
52	14090	251770
53	14364	251649
54	14637	251494
55	14909	251334
56	15179	251129
57	15446	250865
58	15714	250633
59	15987	250477
60	16253	250193
61	16521	249949
62	16797	249835
63	17066	249596
64	17321	249162
65	17601	249090
66	17872	248880
67	18129	248478
68	18386	248082
69	18655	247854
70	18914	247482
71	19183	247259
72	19212	243977
73	19475	243708
74	19742	243493
75	19775	240426
76	20036	240179
77	20301	239978
78	20536	239419
79	20794	239141
80	21063	238981
81	21331	238809
82	21602	238667
83	21867	238458
84	22126	238180
85	22384	237902
86	22652	237724
87	22881	237135
88	23152	236992
89	23411	236713
90	23667	236413
91	23923	236117
92	24187	235897
93	24457	235732
94	24719	235489
95	24990	235324
96	25249	235057
97	25510	234796
98	25780	234625
99	26043	234390
100	26301	234109
101	26578	233995
102	26840	233747
103	27116	233618
104	27384	233423
105	27657	233263
106	27932	233121
107	28188	232813
108	28453	232588
109	28709	232284
110	28980	232109
111	29245	231871
112	29510	231640
113	29768	231360
114	30029	231100
115	30291	230842
116	30559	230632
117	30827	230419
118	31093	230199
119	31353	229926
120	31625	229739
121	31891	229515
122	32161	229316
123	32430	229107
124	32704	228930
125	32945	228524
126	33212	228301
127	33476	228060
128	33733	227767
129	34000	227544
130	34283	227422
131	34553	227218
132	34816	226963
133	35062	226599
134	35331	226384
135	35594	226128
136	35854	225857
137	36119	225613
138	36377	225332
139	36644	225101
140	36910	224864
141	37182	224667
142	37424	224284
143	37689	224045
144	37949	223770
145	38201	223450
146	38447	223101
147	38696	222768
148	38956	222496
149	39209	222184
150	39473	221938
151	39743	221725
152	40010	221496
153	40256	221151
154	40509	220844
155	40751	220476
156	41010	220200
157	41281	219993
158	41537	219705
159	41791	219402
160	42042	219092
161	42306	218844
162	42574	218620
163	42834	218349
164	43093	218079
165	43343	217760
166	43614	217549
167	43865	217238
168	44113	216914
169	44367	216615
170	44621	216321
171	44884	216070
172	45144	215808
173	45414	215590
174	45661	215261
175	45920	214990
176	46150	214584
177	46415	214344
178	46661	214018
179	46922	213759
180	47180	213486
181	47437	213209
182	47709	212998
183	47958	212687
184	48209	212382
185	48449	212030
186	48696	211714
187	48965	211490
188	49234	211266
189	49484	210960
190	49741	210685
191	49999	210416
192	50260	210158
193	50472	209695
194	50743	209478
195	51016	209271
196	51286	209049
197	51543	208777
198	51786	208445
199	52030	208121
200	52275	207800
201	52541	207563
202	52759	207139
203	53008	206836
204	53263	206558
205	53512	206255
206	53769	205987
207	54021	205698
208	54274	205413
209	54531	205140
210	54775	204825
211	54998	204427
212	55218	204025
